VisitID,Restaurant,ServerEmpID,ServerName,StartDateHired,EndDateHired,HourlyRate,ServerBirthDate,ServerTIN,VisitDate,VisitTime,MealType,PartySize,Genders,WaitTime,CustomerName,CustomerPhone,CustomerEmail,LoyaltyMember,FoodBill,TipAmount,DiscountApplied,PaymentMethod,orderedAlcohol,AlcoholBill
128,Patty Palace,2018,"Adams, Chloe",1/2/18,2/9/21,17.75,8/11/72,248-68-7459,11/25/18,14:07,Take-Out,6,ffumff,0,Daquan Gallagher,(858) 462-2362,mollis@hotmail.com,TRUE,122.9,0,0.1,Cash,no,0
129,Burger Haven,1916,"Hall, Lucas",4/22/24,5/17/24,10.25,10/8/03,791-43-3722,4/26/24,20:23,Dinner,3,fmm,0,,,,FALSE,54.35,0.15,0,Credit Card,no,0
130,Burger Haven,2522,"Jackson, Oliver",8/5/18,8/30/18,10.25,3/9/73,820-52-8087,8/11/18,14:02,Lunch,6,mmmufm,0,,,,FALSE,79.95,0.25,0,Mobile Payment,no,0
131,Flame Shack,,N/A,0000-00-00,9999-99-99,0,,,8/14/24,15:33,Lunch,5,unfuf,0,,,,FALSE,59.47,0.3,0,Credit Card,no,0
132,Patty Palace,1236,"Baker, Samuel",4/10/24,8/8/24,10.25,10/22/72,902-11-4766,7/5/24,23:12,Take-Out,1,m,0,Emerson Willis,(762) 542-4542,diam.lorem@web.org,TRUE,23.67,0,0.15,Mobile Payment,no,0
133,Burger Haven,2114,"King, Noah",11/2/20,,20.25,5/7/84,237-74-6327,5/3/24,13:12,Lunch,1,f,0,Daquan Gallagher,(858) 462-2362,mollis@hotmail.com,TRUE,14.07,0.18,0.15,Cash,no,0
134,Grill & Thrill,3311,"Hernandez, Charlotte",10/3/22,,17.35,1/1/96,827-14-5685,6/6/23,11:11,Lunch,1,m,9,,,,FALSE,16.09,0.18,0,Mobile Payment,no,0
135,Bun Fi,,N/A,0000-00-00,9999-99-99,0,,,7/20/20,,Take-Out,5,uffnu,0,,,,FALSE,76.83,0,0,Mobile Payment,no,0
136,Flame Shack,,N/A,0000-00-00,9999-99-99,0,,,10/22/21,5:39,Breakfast,4,mmnf,0,,,,FALSE,50.49,0.15,0,Credit Card,no,0
137,The Burger Joint,2415,"Clark, Sophia",6/28/19,12/11/23,21.5,10/1/66,449-33-2648,1/21/21,13:09,Take-Out,2,mf,0,Emerson Willis,(762) 542-4542,diam.lorem@web.org,TRUE,36.64,0,0.1,Credit Card,no,0
138,Stacked & Sizzled,2835,"Perez, Jacob",11/15/19,10/20/23,19,12/28/61,149-52-9500,11/6/21,15:45,Take-Out,1,f,0,Daquan Gallagher,(858) 462-2362,mollis@hotmail.com,TRUE,19.26,0,0.1,Credit Card,no,0
139,Burger Haven,3311,"Hernandez, Charlotte",10/3/22,,15.25,1/1/96,827-14-5685,4/23/23,11:03,Lunch,2,mm,9,,,,FALSE,31.5,0.15,0,Credit Card,no,0
140,Big Bite Burgers,2109,"White, Amelia K.",8/21/23,12/20/23,10.25,2/2/65,873-90-9629,11/17/23,6:47,Breakfast,1,m,0,,,,FALSE,7.63,0.2,0,Mobile Payment,no,0
